State,Profession,Avg_Score
Alabama,  Data scientists,591.8598335905441
Alabama,  Nurse practitioners,416.9361580416883
Alabama,  Medical and health services managers,374.8040556509095
Alabama,  Solar photovoltaic installers,362.74083834871936
Alabama,  Manufactured building and mobile home installers,285.5749149981227
Alabama,  Computer and information systems managers,278.7345454603821
Alabama,  Physical therapist assistants,259.43799773875946
Alabama,"  Loading and moving machine operators, underground mining",256.72903000994387
Alabama,  Financial examiners,249.27086537735397
Alabama,  Software developers,231.7596504488063
Alaska,  Nurse practitioners,31.209510354949117
Alaska,  Word processors and typists,24.761073621795706
Alaska,  Medical and health services managers,24.65203751467308
Alaska,  Solar photovoltaic installers,24.271828864734832
Alaska,  Occupational therapy assistants,19.57355780045385
Alaska,"  Nursing instructors and teachers, postsecondary",17.30417368853238
Alaska,  Data scientists,16.24993407063632
Alaska,  Manufactured building and mobile home installers,15.10225229925851
Alaska,  Home health and personal care aides,14.665527213960978
Alaska,  Telephone operators,13.0122753645586
Arizona,  Wind turbine service technicians,31.369370815962
Arizona,  Data scientists,21.832813302691516
Arizona,  Medical and health services managers,19.20530036494785
Arizona,  Solar photovoltaic installers,18.678233305077963
Arizona,  Physician assistants,14.642426754204928
Arizona,  Nurse practitioners,14.383848228354585
Arizona,  Software developers,12.945484753362306
Arizona,  Industrial machinery mechanics,12.628534394330543
Arizona,  Operations research analysts,11.553939363182023
Arizona,  Actuaries,10.14616663727688
Arkansas,  Nurse practitioners,22.681994498298167
Arkansas,  Solar photovoltaic installers,21.803242961158627
Arkansas,  Data scientists,16.481727126805485
Arkansas,  Information security analysts,12.629870299588333
Arkansas,"  Substance abuse, behavioral disorder, and mental health counselors",12.304694748092325
Arkansas,  Computer and information research scientists,12.109190962808933
Arkansas,  Industrial machinery mechanics,11.192684616469935
Arkansas,  Medical and health services managers,11.17047600968642
Arkansas,  Epidemiologists,9.206802143163165
Arkansas,  Telemarketers,8.75843246910334
California,  Nurse practitioners,13.996014435368465
California,  Financial examiners,10.792754302382953
California,  Medical and health services managers,9.315245236331963
California,  Data scientists,8.485629395572138
California,"  Patternmakers, metal and plastic",8.157228370954144
California,  Telephone operators,7.6347981885847505
California,"  Substance abuse, behavioral disorder, and mental health counselors",7.458443249087106
California,  Veterinary technologists and technicians,7.0495556148339515
California,  Prepress technicians and workers,6.439729806316669
California,  Home health and personal care aides,6.35141057050523
Colorado,  Nurse practitioners,32.10843714601817
Colorado,  Data scientists,18.034292480072768
Colorado,  Solar photovoltaic installers,14.839215470722314
Colorado,  Medical and health services managers,11.182103499248752
Colorado,  Home health and personal care aides,10.70531946397117
Colorado,  Order clerks,10.556948049025065
Colorado,  Software developers,9.379093957987225
Colorado,  Psychiatric technicians,9.140089463811973
Colorado,"  Model makers, metal and plastic",8.159941708014573
Colorado,  Personal financial advisors,8.12714317099864
Connecticut,  Nurse practitioners,25.534722305775727
Connecticut,  Data scientists,14.77814642038112
Connecticut,"  Loading and moving machine operators, underground mining",12.124333671939667
Connecticut,  Medical and health services managers,11.734311093088914
Connecticut,  Veterinary assistants and laboratory animal caretakers,10.83416322818316
Connecticut,"  Substance abuse, behavioral disorder, and mental health counselors",9.684190430521395
Connecticut,"  Patternmakers, metal and plastic",9.414833817702617
Connecticut,  Computer and information systems managers,9.379974562250519
Connecticut,  Industrial machinery mechanics,8.841799377282214
Connecticut,  Manufactured building and mobile home installers,7.635516474446763
Delaware,  Nurse practitioners,26.13245120473154
Delaware,  Information security analysts,17.33527009531134
Delaware,  Data scientists,14.812673715030954
Delaware,  Actuaries,11.159446552765482
Delaware,  Engine and other machine assemblers,10.46093364818713
Delaware,  Home health and personal care aides,10.135706066013144
Delaware,"  Cooks, restaurant",9.843658539868803
Delaware,  Camera and photographic equipment repairers,9.347504616510827
Delaware,  File clerks,9.19322265612612
Delaware,  Industrial machinery mechanics,9.091824103499759
District of Columbia,  Wind turbine service technicians,37.24806097955341
District of Columbia,  Nurse practitioners,26.748557211462657
District of Columbia,  Solar photovoltaic installers,22.89731479002238
District of Columbia,  Data scientists,15.630619485078583
District of Columbia,  Foundry mold and coremakers,11.52550923269684
District of Columbia,  Veterinary technologists and technicians,10.680788800568614
District of Columbia,  Industrial machinery mechanics,9.524299572682482
District of Columbia,  Software developers,9.491277841292318
District of Columbia,  Computer and information systems managers,8.657498245287554
District of Columbia,  Telemarketers,8.453967086989715
Florida,  Solar photovoltaic installers,28.79620733888559
Florida,  Telephone operators,21.997754019825184
Florida,  Nurse practitioners,17.728845449781982
Florida,  Data scientists,15.453379134112245
Florida,  Operations research analysts,13.456965717348211
Florida,  Medical and health services managers,11.724828026875906
Florida,  Wind turbine service technicians,8.708031855973347
Florida,"  Health specialties teachers, postsecondary",8.498039416152865
Florida,  Home health and personal care aides,8.085957230867447
Florida,  Speech-language pathologists,7.652525909488401
Georgia,  Medical and health services managers,24.10009631534501
Georgia,  Nurse practitioners,23.26190660896542
Georgia,  Foundry mold and coremakers,21.92032520288335
Georgia,  Data scientists,20.041622951141356
Georgia,"  Cutters and trimmers, hand",18.088503840010898
Georgia,"  Substance abuse, behavioral disorder, and mental health counselors",12.586622211330948
Georgia,  Occupational therapy assistants,12.251942703494748
Georgia,  Computer and information systems managers,11.869568231408413
Georgia,  Structural metal fabricators and fitters,11.360236369757303
Georgia,  Industrial machinery mechanics,11.112741971723546
Hawaii,  Solar photovoltaic installers,20.194491941319107
Hawaii,  Data scientists,19.765882303230654
Hawaii,  Wind turbine service technicians,14.183246373383378
Hawaii,  Medical and health services managers,12.806958686490404
Hawaii,"  Forging machine setters, operators, and tenders, metal and plastic",10.705921951842578
Hawaii,  Word processors and typists,9.877504016659861
Hawaii,  Software developers,9.524173391720673
Hawaii,  Computer and information systems managers,9.510711768099247
Hawaii,"  Substance abuse, behavioral disorder, and mental health counselors",9.184926977761362
Hawaii,  Actuaries,8.853859825339454
Idaho,  Nurse practitioners,23.26677415188887
