State,Profession,Avg_Score
Alabama,"  Roof bolters, mining",820.0192208255635
Alabama,  Wind turbine service technicians,732.3136710182889
Alabama,  Foundry mold and coremakers,685.3491960122965
Alabama,  Word processors and typists,546.4759547808786
Alabama,  Data scientists,535.1554527082388
Alabama,  Prepress technicians and workers,504.5144751341406
Alabama,"  Drilling and boring machine tool setters, operators, and tenders, metal and plastic",464.721058227775
Alabama,  Nurse practitioners,454.1278519278987
Alabama,"  Switchboard operators, including answering service",410.3608851981489
Alabama,  Print binding and finishing workers,389.338151733217
Alaska,  Foundry mold and coremakers,50.63705442602904
Alaska,"  Drilling and boring machine tool setters, operators, and tenders, metal and plastic",41.341089686663544
Alaska,  Telemarketers,38.47984721622589
Alaska,  Nurse practitioners,37.58861935572094
Alaska,  Timing device assemblers and adjusters,36.912747558124316
Alaska,  Order clerks,33.3752321179911
Alaska,  Word processors and typists,31.904312251151847
Alaska,  Data entry keyers,30.54812619415114
Alaska,"  Patternmakers, metal and plastic",25.979320168234665
Alaska,"  Refractory materials repairers, except brickmasons",25.74474425908747
Arizona,"  Refractory materials repairers, except brickmasons",32.330584354752524
Arizona,  Nurse practitioners,24.562030308686193
Arizona,  Telephone operators,24.205514994358094
Arizona,"  Cutters and trimmers, hand",21.401878377500775
Arizona,  Data entry keyers,19.527182356618216
Arizona,  Order clerks,18.499164269831244
Arizona,  Veterinary technologists and technicians,17.671111842221006
Arizona,"  Loading and moving machine operators, underground mining",16.58768350828599
Arizona,  Foundry mold and coremakers,16.504938562505874
Arizona,  Medical and health services managers,16.370051955482115
Arkansas,"  Refractory materials repairers, except brickmasons",24.29348011741516
Arkansas,"  Roof bolters, mining",23.419724494413412
Arkansas,  Data scientists,20.172673255214487
Arkansas,"  Patternmakers, metal and plastic",18.974490060286648
Arkansas,  Word processors and typists,16.9201884090828
Arkansas,  New accounts clerks,16.18130498212933
Arkansas,  Print binding and finishing workers,13.66192620257307
Arkansas,  Medical and health services managers,13.449461298548732
Arkansas,"  Cutters and trimmers, hand",12.80286448426723
Arkansas,  Nurse practitioners,12.67120465028998
California,"  Switchboard operators, including answering service",33.16745378578553
California,  Manufactured building and mobile home installers,27.47513417902732
California,  Word processors and typists,26.911706498249327
California,  Telemarketers,26.786342772400925
California,  Foundry mold and coremakers,26.50881498279142
California,"  Door-to-door sales workers, news and street vendors, and related workers",24.897447702345016
California,"  Roof bolters, mining",19.14177873370536
California,"  Patternmakers, metal and plastic",18.958879217540304
California,  Structural metal fabricators and fitters,18.534322359123063
California,"  Forging machine setters, operators, and tenders, metal and plastic",15.960118440028552
Colorado,  Data entry keyers,45.459945365498186
Colorado,  Solar photovoltaic installers,31.780766544034794
Colorado,  Foundry mold and coremakers,28.52906187603188
Colorado,  Nurse practitioners,26.20495003304444
Colorado,"  Door-to-door sales workers, news and street vendors, and related workers",24.58289577536493
Colorado,  Order clerks,24.500722063164847
Colorado,"  Patternmakers, metal and plastic",22.727172536650915
Colorado,  File clerks,20.991814438481903
Colorado,  Timing device assemblers and adjusters,20.12794833286508
Colorado,  Tellers,19.134836571577225
Connecticut,  Telephone operators,32.313380790853934
Connecticut,  Engine and other machine assemblers,31.969128222390264
Connecticut,"  Switchboard operators, including answering service",26.323237368057786
Connecticut,"  Loading and moving machine operators, underground mining",23.299019736188217
Connecticut,  Payroll and timekeeping clerks,20.33895967562125
Connecticut,  Timing device assemblers and adjusters,18.30944251004856
Connecticut,  Data scientists,16.501016958281326
Connecticut,  File clerks,12.43594685511794
Connecticut,"  Grinding and polishing workers, hand",12.431246739115958
Connecticut,  Word processors and typists,11.268177726454917
Delaware,  Data entry keyers,33.48140366654676
Delaware,  Data scientists,30.80168794590001
Delaware,  Telephone operators,20.264290239284378
Delaware,"  Aircraft structure, surfaces, rigging, and systems assemblers",20.195720432841032
Delaware,"  Loading and moving machine operators, underground mining",18.70276899871286
Delaware,  Tellers,18.073437083975033
Delaware,  Print binding and finishing workers,16.53277775480248
Delaware,  Payroll and timekeeping clerks,16.137707834207234
Delaware,  New accounts clerks,15.819794639307338
Delaware,  Engine and other machine assemblers,15.156280620788364
District of Columbia,  Nurse practitioners,30.14175117736112
District of Columbia,"  Patternmakers, metal and plastic",21.91026827792814
District of Columbia,  Data scientists,20.545829343447082
District of Columbia,  Data entry keyers,19.711433365635063
District of Columbia,  Order clerks,18.979531167090446
District of Columbia,  Prepress technicians and workers,18.79019463547129
District of Columbia,  Foundry mold and coremakers,17.014857990105654
District of Columbia,"  Refractory materials repairers, except brickmasons",15.89865981666807
District of Columbia,  Camera and photographic equipment repairers,13.64434258172364
District of Columbia,"  Switchboard operators, including answering service",11.38079910872483
Florida,"  Office machine operators, except computer",23.41780652162511
Florida,  Tellers,21.588224959107304
Florida,  Nurse practitioners,19.574432439323697
Florida,  Order clerks,19.360780307194734
Florida,"  Loading and moving machine operators, underground mining",19.34363636602455
Florida,  Data scientists,18.75200400799155
Florida,  Foundry mold and coremakers,18.24702503836401
Florida,  Print binding and finishing workers,17.57454116937211
Florida,"  Forging machine setters, operators, and tenders, metal and plastic",16.275271964396108
Florida,"  Switchboard operators, including answering service",11.825288783406934
Georgia,  Word processors and typists,40.85702216872133
Georgia,"  Aircraft structure, surfaces, rigging, and systems assemblers",37.678521382927435
Georgia,  Order clerks,32.6909612077508
Georgia,"  Switchboard operators, including answering service",30.758153921541417
Georgia,"  Grinding and polishing workers, hand",28.528152276511047
Georgia,  Telephone operators,28.130067250120415
Georgia,  Nurse practitioners,27.488608780535213
Georgia,"  Drilling and boring machine tool setters, operators, and tenders, metal and plastic",25.86100220977575
Georgia,"  Refractory materials repairers, except brickmasons",25.524618325961967
Georgia,"  Roof bolters, mining",23.93123601127893
Hawaii,  Manufactured building and mobile home installers,29.239470223351372
Hawaii,"  Roof bolters, mining",26.783092673936363
Hawaii,  Nurse practitioners,20.50324693600342
Hawaii,  Data scientists,19.31348071159492
Hawaii,  Engine and other machine assemblers,19.15895414085705
Hawaii,"  Refractory materials repairers, except brickmasons",18.183197253148222
Hawaii,"  Patternmakers, metal and plastic",17.255553845845427
Hawaii,  Telephone operators,13.966949887753183
Hawaii,"  Model makers, metal and plastic",13.177779870977533
Hawaii,"  Aircraft structure, surfaces, rigging, and systems assemblers",13.14266755863933
Idaho,"  Roof bolters, mining",37.09822433658977
Idaho,  Telephone operators,31.1483837967594
Idaho,  Camera and photographic equipment repairers,20.910864856170065
Idaho,  Medical and health services managers,19.33847641265128
Idaho,  Tellers,18.3048322663853
Idaho,"  Switchboard operators, including answering service",17.635643331378855
Idaho,"  Aircraft structure, surfaces, rigging, and systems assemblers",17.533584315782846
Idaho,"  Cutters and trimmers, hand",17.10125578205469
Idaho,  Payroll and timekeeping clerks,16.241317714650062
Idaho,  Data scientists,16.20726813432318
Illinois,"  Model makers, metal and plastic",23.558772245381068
Illinois,  Telemarketers,19.664668969871485
Illinois,  Manufactured building and mobile home installers,18.498307960710076
Illinois,  Telephone operators,18.05037342975395
Illinois,  Nurse practitioners,17.332735402762268
Illinois,"  Door-to-door sales workers, news and street vendors, and related workers",15.180469370014519
Illinois,"  Aircraft structure, surfaces, rigging, and systems assemblers",14.98462328592853
Illinois,  Structural metal fabricators and fitters,14.612491096387282
Illinois,  Tellers,14.517992370427601
Illinois,  Order clerks,14.442478636720352
Iowa,"  Switchboard operators, including answering service",23.671733383401914
Iowa,  Order clerks,23.437372613826984
Iowa,  Word processors and typists,20.897221957451194
Iowa,"  Cutters and trimmers, hand",18.752512216627963
Iowa,  Telephone operators,17.357602886129033
Iowa,"  Patternmakers, metal and plastic",16.992789577209148
