State,Profession,Avg_Score
Alabama,  Manufactured building and mobile home installers,824.7681368446324
Alabama,  Telemarketers,720.2716415654369
Alabama,  Engine and other machine assemblers,715.5673145680678
Alabama,"  Model makers, metal and plastic",698.1906814614625
Alabama,"  Switchboard operators, including answering service",679.2827360834428
Alabama,"  Cutters and trimmers, hand",630.0351518115691
Alabama,  Word processors and typists,607.7223647498581
Alabama,  Foundry mold and coremakers,604.2031551633914
Alabama,  File clerks,569.6517264495707
Alabama,"  Aircraft structure, surfaces, rigging, and systems assemblers",523.3309484066294
Alaska,"  Roof bolters, mining",88.58397518831337
Alaska,  Word processors and typists,59.57668466558216
Alaska,"  Refractory materials repairers, except brickmasons",44.93161119607343
Alaska,  Manufactured building and mobile home installers,42.197924652003955
Alaska,"  Switchboard operators, including answering service",41.95162913313727
Alaska,"  Patternmakers, metal and plastic",34.95059751947682
Alaska,  Telemarketers,34.80494637201074
Alaska,  Print binding and finishing workers,34.09637990128055
Alaska,  Wind turbine service technicians,33.1227342243782
Alaska,  Payroll and timekeeping clerks,30.54330865187001
Arizona,  Structural metal fabricators and fitters,32.30738985254535
Arizona,"  Forging machine setters, operators, and tenders, metal and plastic",32.09070299906784
Arizona,  Nurse practitioners,31.531036758737887
Arizona,"  Switchboard operators, including answering service",31.033661207233937
Arizona,  Foundry mold and coremakers,30.264845936278956
Arizona,  Manufactured building and mobile home installers,29.130337160768377
Arizona,  New accounts clerks,28.563581430521953
Arizona,"  Model makers, metal and plastic",27.543255829495
Arizona,"  Roof bolters, mining",27.22438290993084
Arizona,"  Patternmakers, metal and plastic",25.736756763898672
Arkansas,"  Drilling and boring machine tool setters, operators, and tenders, metal and plastic",48.06295734227103
Arkansas,"  Aircraft structure, surfaces, rigging, and systems assemblers",44.69387380071702
Arkansas,"  Cutters and trimmers, hand",36.77663650341711
Arkansas,"  Loading and moving machine operators, underground mining",34.17664326299727
Arkansas,  Tellers,34.01740519036358
Arkansas,  Data entry keyers,25.119176067143822
Arkansas,"  Patternmakers, metal and plastic",24.7001763811587
Arkansas,"  Refractory materials repairers, except brickmasons",24.581999228551926
Arkansas,"  Door-to-door sales workers, news and street vendors, and related workers",22.95666962283635
Arkansas,  Home health and personal care aides,22.17702915276096
California,  Engine and other machine assemblers,39.07997359207624
California,  Telephone operators,38.04807524887746
California,  Word processors and typists,36.471992388573895
California,"  Loading and moving machine operators, underground mining",34.80079464310389
California,"  Roof bolters, mining",34.21179298405497
California,"  Aircraft structure, surfaces, rigging, and systems assemblers",30.06708489401457
California,"  Forging machine setters, operators, and tenders, metal and plastic",28.67148286735861
California,  Prepress technicians and workers,27.34443829745481
California,  New accounts clerks,24.118727606173206
California,"  Cutters and trimmers, hand",20.403713872792444
Colorado,"  Switchboard operators, including answering service",60.96740082523142
Colorado,"  Roof bolters, mining",50.42273971921599
Colorado,  New accounts clerks,34.889797802873126
Colorado,"  Grinding and polishing workers, hand",32.23955312224124
Colorado,  Nurse practitioners,30.808349087540442
